student_row_id,attendance,assignment_score,internal_marks,previous_semester_marks,study_hours,quiz_score,participation,assignment_completion,final_result
77,69.5,61.9,71.7,65.7,2.93,72.7,55.7,62.0,Average
78,71.0,69.9,45.7,49.6,0.99,63.6,82.5,99.0,Average
79,67.9,54.5,55.1,53.2,0.78,53.1,24.9,69.8,Poor
80,81.8,60.9,63.2,49.1,4.17,82.9,62.0,83.3,Average
81,66.6,80.6,82.1,72.8,2.39,53.1,49.2,76.8,Average
82,70.0,87.5,55.6,57.6,4.49,52.8,52.8,68.1,Average
83,82.6,44.3,53.8,39.2,0.0,42.0,39.5,49.4,Poor
84,68.5,69.2,64.6,38.6,3.15,64.4,66.6,100.0,Average
85,89.6,84.7,73.9,67.7,5.36,71.6,80.9,85.7,Good
86,95.4,90.9,93.4,77.2,5.15,77.6,83.9,88.8,Good
87,84.6,79.8,72.6,65.8,3.29,67.5,80.4,83.1,Good
88,63.7,67.6,73.7,67.5,2.51,73.0,24.9,78.8,Poor
89,64.6,58.3,57.2,50.4,3.65,59.2,64.6,62.6,Average
90,75.6,64.7,53.1,65.6,1.0,75.1,54.0,72.6,Average
91,80.7,82.8,49.4,55.5,2.27,65.1,49.5,75.5,Average
92,48.3,50.7,24.1,40.4,0.22,45.6,55.9,64.0,Poor
93,86.8,71.5,61.3,79.2,3.14,65.4,72.2,80.3,Good
94,65.5,66.9,57.0,59.0,4.14,76.7,43.1,80.8,Average
95,72.8,67.2,56.2,58.5,2.98,75.2,58.2,64.1,Average
96,73.0,71.4,84.7,44.8,4.08,63.1,48.3,52.7,Average
97,73.5,69.9,51.0,77.5,2.19,62.2,69.2,73.0,Average
98,83.2,87.6,80.1,87.7,3.22,77.4,75.3,76.8,Good
99,87.1,54.6,50.3,74.5,2.67,51.7,62.8,56.7,Average
100,81.6,83.2,76.2,93.5,0.49,93.0,95.0,71.3,Good
101,90.8,63.2,64.2,85.2,4.44,79.0,80.2,93.1,Good
102,99.7,81.7,68.0,71.4,5.38,87.0,77.1,86.7,Good
103,41.9,28.8,37.4,55.8,1.02,38.4,43.6,30.6,Poor
104,78.1,61.7,59.4,70.1,2.67,65.5,66.1,50.0,Average
105,86.6,77.3,67.9,58.8,5.35,81.8,64.5,78.3,Good
106,72.5,53.3,55.1,47.9,3.38,38.8,75.0,88.0,Average
107,97.9,95.1,86.0,64.4,6.49,68.4,83.6,83.2,Good
108,70.3,75.1,61.6,78.6,0.7,61.9,43.7,74.7,Average
109,70.0,81.4,45.4,52.9,2.19,43.9,57.7,91.6,Average
110,90.8,53.8,59.0,66.6,2.24,51.2,74.6,100.0,Average
111,91.9,91.9,53.0,65.9,5.07,100.0,80.2,83.4,Good
112,57.8,22.4,57.2,45.1,4.12,71.7,40.6,53.5,Poor
113,52.8,59.2,64.6,62.7,0.22,41.0,38.5,61.8,Poor
114,59.8,35.3,54.9,35.4,1.82,57.3,54.2,58.5,Poor
115,55.6,68.0,42.0,61.2,0.79,83.9,71.8,71.4,Average
116,92.5,58.2,46.1,41.3,3.08,41.3,55.2,75.7,Average
117,89.6,59.4,51.4,78.3,4.46,62.0,73.1,87.4,Average
118,79.1,92.3,68.2,74.5,4.97,70.3,81.3,78.0,Good
119,76.8,54.8,38.0,39.7,1.12,41.1,57.5,57.6,Poor
120,87.4,45.8,67.8,67.2,1.42,66.7,76.6,41.2,Average
121,65.5,100.0,63.7,58.9,5.63,100.0,96.6,95.1,Good
122,87.7,99.2,50.2,86.0,4.32,77.7,81.1,72.1,Good
123,54.8,55.5,58.5,82.8,2.91,47.3,66.3,49.9,Average
124,50.2,52.3,73.2,38.4,0.83,43.2,48.1,58.7,Poor
125,86.5,77.0,86.7,87.5,4.32,97.3,66.3,88.3,Good
126,100.0,97.2,72.1,81.4,4.89,83.9,73.4,84.0,Good
127,43.2,69.8,38.2,57.0,1.39,32.2,42.9,66.0,Poor
128,72.3,56.7,60.5,51.8,3.28,73.4,36.0,57.9,Average
129,40.6,42.2,44.0,49.9,2.06,50.3,40.5,52.2,Poor
130,74.0,74.9,59.7,76.4,2.65,64.1,43.5,73.7,Average
131,84.9,77.9,63.5,68.4,2.65,100.0,91.2,100.0,Good
132,47.1,48.4,28.6,55.4,1.67,49.9,43.0,60.8,Poor
133,88.5,85.0,95.8,82.6,4.95,92.8,75.6,82.4,Good
134,86.3,80.6,79.5,75.4,5.55,100.0,73.3,77.7,Good
135,45.1,44.6,59.3,57.7,0.0,48.2,17.3,55.7,Poor
136,73.9,76.2,87.7,63.2,4.61,66.1,85.6,89.7,Good
137,94.8,71.9,88.6,91.9,4.78,100.0,70.7,78.8,Good
138,90.3,92.8,97.3,88.2,1.62,66.9,72.5,90.2,Good
139,62.0,78.6,61.3,56.0,2.48,67.5,74.5,88.8,Average
140,65.8,73.2,85.3,74.8,4.72,74.4,81.0,88.6,Good
141,95.1,72.0,94.4,61.6,5.02,100.0,68.1,84.9,Good
142,82.2,93.3,75.3,72.6,2.86,85.7,100.0,80.4,Good
143,89.5,66.4,77.8,67.1,3.17,94.6,93.1,95.5,Good
144,74.0,88.7,64.9,96.3,1.29,99.7,82.5,89.1,Average
145,60.1,65.4,51.8,34.4,2.43,63.7,84.0,39.3,Poor
146,78.8,89.8,81.7,70.8,2.41,90.6,87.8,89.1,Good
147,67.0,67.2,49.8,57.6,2.65,58.3,58.8,63.1,Average
148,72.1,96.6,44.6,73.6,2.11,70.5,65.7,60.5,Average
149,85.7,68.3,97.0,61.3,3.58,82.4,97.3,77.1,Good
150,92.5,80.5,86.1,93.8,3.87,78.4,99.0,96.9,Good
151,71.0,44.6,46.7,34.0,0.42,45.2,57.4,51.4,Poor
152,59.9,47.3,57.9,49.5,1.39,30.9,46.0,69.5,Poor
153,71.5,83.7,76.7,61.3,3.35,58.0,37.8,58.0,Average
154,62.2,74.8,64.9,68.1,1.01,52.2,67.8,57.7,Average
155,41.4,35.0,20.7,45.8,0.66,32.4,42.1,60.1,Poor
156,63.8,57.8,56.4,77.1,0.0,96.5,73.7,72.9,Average
157,88.1,98.0,76.1,100.0,5.08,71.6,67.1,94.3,Good
158,76.5,37.6,52.4,79.9,1.66,49.1,57.4,96.9,Average
159,100.0,81.3,72.9,97.7,2.17,56.8,85.3,85.5,Good
160,83.1,86.4,78.6,89.1,4.36,82.7,75.6,89.5,Good
161,65.5,73.2,60.9,61.3,2.4,64.8,58.5,72.8,Average
162,74.5,62.2,69.5,56.8,3.26,47.2,61.6,95.2,Average
163,90.3,90.6,65.4,62.5,4.93,84.3,83.0,93.1,Good
164,64.1,57.2,76.1,77.8,2.04,62.5,48.2,85.2,Average
165,62.9,65.9,52.8,64.8,1.32,57.5,47.1,78.5,Average
166,82.2,67.4,97.1,88.1,3.24,100.0,91.8,87.1,Good
167,74.1,70.5,70.3,66.6,3.22,55.2,52.7,55.7,Average
168,90.2,50.0,65.1,54.7,2.77,62.2,51.7,76.3,Average
169,72.0,43.2,53.2,33.2,1.88,46.4,49.1,46.0,Poor
170,51.9,41.7,56.3,67.0,0.0,56.5,53.2,88.0,Average
171,65.9,63.4,54.3,58.6,0.22,64.3,60.0,59.4,Average
172,75.8,80.4,70.2,45.5,3.46,51.0,55.0,73.3,Average
173,41.3,54.2,67.4,52.0,1.45,44.1,22.6,74.0,Poor
174,73.7,69.7,65.4,76.1,1.25,54.6,50.0,80.8,Average
175,82.5,78.7,74.7,78.9,4.42,81.0,85.2,100.0,Good
176,85.6,89.9,95.5,77.8,6.48,65.8,59.6,89.5,Good
177,50.9,59.0,51.5,52.1,0.95,28.7,49.7,43.3,Poor
178,88.9,73.5,79.3,82.5,6.23,91.6,100.0,83.1,Good
179,92.7,74.0,81.1,68.7,3.34,65.5,68.9,77.8,Average
180,72.4,54.0,71.1,56.4,2.05,51.1,26.7,67.5,Average
181,82.5,77.7,82.1,80.7,5.12,100.0,77.9,82.8,Good
182,57.5,67.0,85.3,62.1,2.09,58.1,57.7,87.8,Average
183,53.9,51.2,43.2,31.8,1.64,20.6,16.3,65.3,Poor
184,65.4,30.9,33.4,42.2,2.31,48.6,30.4,50.7,Poor
185,63.7,47.4,59.4,59.7,2.85,56.1,66.6,95.2,Average
186,58.4,68.5,82.3,62.2,2.55,69.6,43.5,92.1,Average
187,77.5,66.7,56.5,64.5,3.09,39.5,75.1,65.6,Average
188,49.3,52.0,56.2,44.3,2.16,61.4,31.1,43.3,Poor
189,45.8,60.9,51.6,44.1,0.94,63.2,77.3,74.1,Average
190,93.7,73.6,62.8,59.1,2.32,68.0,44.6,84.5,Average
191,48.9,39.5,56.7,30.5,2.65,53.9,57.2,48.5,Poor
192,54.4,52.1,55.7,47.1,1.76,63.7,48.0,59.4,Poor
193,98.5,84.8,82.7,72.5,3.52,76.2,84.7,86.2,Good
194,80.7,69.7,55.9,81.5,0.99,72.1,73.0,61.3,Poor
195,74.6,54.1,53.7,75.7,3.16,61.6,54.6,43.7,Average
196,66.2,79.5,78.6,55.4,0.25,73.1,51.1,80.3,Average
197,36.7,33.3,20.1,46.0,1.06,40.1,29.4,38.6,Poor
198,73.7,94.6,66.8,51.0,2.19,42.5,59.0,59.2,Average
199,39.6,46.3,39.6,48.4,0.87,19.9,38.0,50.7,Poor
200,82.6,85.5,61.5,81.8,4.17,87.1,82.7,100.0,Good
201,85.8,74.5,68.0,73.9,6.72,88.0,73.1,95.2,Good
202,56.0,76.7,65.8,77.2,2.79,74.1,66.1,87.5,Average
203,65.0,68.4,25.3,25.6,0.64,51.0,49.5,70.0,Poor
204,94.5,77.9,98.0,72.6,4.51,91.3,63.0,74.2,Good
205,52.6,57.1,60.7,51.1,2.16,62.8,57.1,61.5,Average
206,78.3,74.3,59.8,61.2,0.63,58.1,71.6,77.5,Average
207,82.1,75.4,54.5,66.5,1.23,46.8,51.9,81.2,Average
208,76.0,73.6,68.0,80.4,2.29,69.4,45.8,65.0,Average
209,82.7,72.8,66.9,73.8,2.27,52.3,57.9,60.3,Average
210,84.4,68.4,70.6,78.1,1.08,61.6,53.1,49.6,Average
211,60.4,58.5,37.0,46.3,0.25,14.0,45.6,63.5,Poor
212,57.6,24.6,40.8,20.4,2.43,31.0,59.3,68.2,Average
213,59.9,60.9,34.4,51.2,1.09,54.2,41.5,49.6,Poor
214,90.2,99.4,78.0,80.1,5.05,83.1,74.6,91.7,Good
215,100.0,93.9,74.1,91.1,4.29,90.4,85.8,82.4,Good
216,87.4,85.6,82.5,81.6,6.46,86.0,77.1,98.7,Good
217,74.2,76.5,64.6,62.3,1.91,79.2,49.4,89.9,Average
218,80.4,78.6,82.6,87.7,3.53,79.0,66.7,79.2,Good
219,64.9,39.5,26.5,45.1,0.76,32.4,40.7,61.9,Poor
220,81.9,84.6,82.2,69.1,6.81,86.2,65.7,95.9,Good
221,82.0,93.4,72.3,97.1,5.15,75.6,100.0,84.5,Good
222,41.5,43.0,45.4,48.3,1.04,48.7,52.0,65.3,Poor
223,83.4,70.3,78.3,87.5,2.82,86.5,73.6,82.9,Good
224,79.3,52.4,72.0,78.9,1.07,51.9,73.2,73.5,Poor
225,78.8,71.7,51.8,59.3,2.26,60.5,64.3,88.6,Average
226,46.8,39.4,69.6,47.0,1.9,34.5,32.9,70.1,Poor
227,85.2,76.0,66.1,81.3,2.71,66.3,59.3,85.9,Average
228,66.5,83.9,84.9,53.6,1.7,71.5,55.0,69.4,Average
229,76.1,100.0,92.0,71.8,1.8,95.9,78.6,100.0,Good
230,67.8,63.3,62.2,57.0,2.51,53.7,45.3,78.1,Average
231,91.2,88.2,90.9,88.6,2.27,70.7,86.2,94.6,Good
232,78.1,56.1,62.5,60.2,2.66,78.0,71.4,56.0,Average
233,86.8,73.2,63.8,44.4,2.03,52.7,88.2,67.7,Average
234,51.3,39.3,48.8,66.8,1.33,56.0,24.9,57.2,Poor
235,54.8,46.7,59.6,34.1,0.51,56.4,35.3,67.6,Poor
236,80.6,78.5,83.5,70.8,3.05,83.7,82.9,85.4,Good
237,62.2,74.2,73.1,45.0,4.05,68.3,78.2,52.6,Average
238,67.9,81.0,66.6,65.3,2.98,49.5,73.5,69.0,Average
239,78.0,86.4,53.3,57.8,2.55,69.1,57.2,58.7,Average
240,68.1,64.3,86.1,59.3,1.91,54.9,69.7,67.6,Average
241,63.7,36.4,44.0,43.4,0.29,48.3,36.0,64.2,Poor
242,75.8,78.2,47.9,54.2,1.98,53.4,82.6,58.9,Average
243,66.4,61.8,78.6,34.6,3.7,65.7,44.3,56.0,Average
244,87.2,100.0,70.2,95.0,6.55,74.9,86.8,100.0,Good
245,97.4,76.1,93.5,79.2,7.11,73.4,100.0,91.8,Good
246,64.9,49.8,66.3,69.9,2.05,78.0,42.6,79.0,Average
247,55.9,39.0,56.9,44.4,1.67,38.3,34.6,56.2,Poor
248,74.1,56.7,38.9,75.1,3.35,62.6,63.0,84.0,Average
249,100.0,83.5,75.0,79.0,2.31,70.3,94.4,84.1,Good
250,100.0,86.5,65.1,87.1,7.17,92.4,61.8,85.6,Good
251,89.7,82.5,64.0,85.2,5.1,100.0,76.3,92.0,Good
252,86.0,89.9,84.2,76.2,3.01,64.3,74.6,97.7,Good
253,94.7,85.3,93.3,94.2,4.24,72.7,85.5,83.9,Average
254,43.4,32.0,26.4,54.9,2.27,66.2,54.0,71.3,Poor
255,90.3,72.1,86.0,58.7,4.11,67.7,72.2,90.4,Good
256,87.0,70.6,72.9,63.8,6.95,81.4,71.6,91.9,Good
257,79.7,62.4,63.4,46.1,1.97,61.4,94.1,55.5,Average
258,66.5,64.6,58.3,54.4,0.75,61.1,40.4,79.9,Average
259,81.0,78.5,87.9,63.5,4.52,95.4,60.7,91.7,Good
260,58.5,57.8,62.1,46.1,1.29,51.0,62.7,70.9,Average
261,65.7,60.5,57.2,63.7,1.4,74.3,60.0,69.9,Average
262,87.7,80.2,48.8,69.6,1.75,64.9,63.8,67.0,Average
263,53.1,62.3,57.3,58.0,0.79,31.0,35.0,57.7,Poor
264,99.0,88.4,76.5,66.4,3.68,93.0,100.0,100.0,Good
265,93.8,69.8,47.8,55.8,3.42,85.0,39.4,45.6,Average
266,73.6,42.2,48.9,25.4,0.0,54.1,42.9,71.5,Poor
267,69.9,70.1,73.9,61.2,1.95,63.7,49.1,97.2,Average
268,79.2,93.6,68.6,100.0,4.89,83.0,69.7,96.3,Good
269,94.0,94.9,81.0,62.7,4.76,73.8,73.7,95.3,Good
270,72.1,74.9,53.0,78.7,2.86,73.3,51.4,81.1,Average
271,75.7,55.5,78.4,69.7,1.81,56.7,63.9,76.0,Average
272,72.2,43.9,62.8,54.4,1.76,77.9,43.7,80.6,Average
273,94.6,83.9,77.7,73.7,2.13,73.1,74.5,99.5,Good
274,92.7,98.9,77.8,81.4,5.17,76.6,82.7,90.1,Good
275,65.0,79.6,49.8,71.8,3.28,82.1,54.7,79.3,Average
276,61.9,37.9,45.8,22.8,2.5,37.9,43.7,50.7,Poor
277,45.0,45.8,18.9,49.1,2.49,26.3,35.4,59.6,Poor
278,88.9,76.5,61.9,77.8,2.71,86.2,69.0,100.0,Good
279,81.2,83.7,82.8,97.6,5.53,74.7,69.2,94.4,Good
280,58.9,58.1,36.8,12.0,1.67,29.4,16.8,15.3,Poor
281,68.9,56.5,50.2,51.6,0.7,42.4,64.7,41.8,Poor
282,83.1,83.2,66.3,81.1,3.36,77.8,72.8,100.0,Good
283,56.4,58.2,53.3,54.0,0.48,21.1,37.9,69.0,Poor
284,67.5,49.9,66.6,61.3,2.85,56.1,75.9,58.6,Average
285,53.2,84.0,59.8,65.2,2.25,57.3,52.6,74.3,Average
286,73.6,50.3,58.5,63.5,1.8,59.6,58.8,68.9,Average
287,77.0,68.7,67.3,47.4,3.45,74.9,57.0,69.4,Average
288,89.1,64.3,55.2,45.3,0.32,44.6,63.5,76.6,Average
289,92.6,100.0,85.3,89.5,5.54,88.2,76.2,96.8,Good
290,71.3,64.2,84.7,46.8,2.86,78.4,89.5,64.7,Average
291,61.3,83.1,53.1,69.0,1.94,68.6,52.9,67.9,Average
292,73.7,75.4,79.1,77.5,3.57,87.9,67.2,88.7,Good
293,80.6,68.2,56.3,66.0,1.04,63.2,59.6,67.3,Average
294,96.1,85.4,87.9,83.9,3.04,74.8,89.0,95.5,Good
295,100.0,86.6,71.2,76.4,4.98,81.8,86.5,81.7,Good
296,69.7,82.6,69.2,58.7,3.07,58.3,75.3,74.8,Average
297,60.5,21.9,44.9,48.9,0.95,59.5,48.5,73.3,Poor
298,78.6,87.9,92.0,84.9,5.59,72.7,62.9,100.0,Good
299,70.6,29.6,64.6,42.5,0.98,21.3,37.1,40.4,Poor
300,65.5,62.5,76.0,64.1,1.72,67.3,45.7,78.9,Average
301,80.1,72.9,76.5,81.0,5.48,72.2,97.9,87.6,Good
302,48.2,44.2,35.6,43.9,2.64,53.6,54.2,35.2,Poor
303,58.6,63.1,37.0,38.2,2.19,49.1,22.9,47.4,Average
304,66.4,43.4,31.8,64.0,1.1,46.7,59.1,40.6,Poor
305,80.3,77.8,90.1,70.7,5.37,68.6,86.4,100.0,Good
306,88.8,69.3,53.4,67.9,0.0,62.0,64.3,82.0,Average
307,96.5,65.7,50.9,87.3,2.29,78.5,66.0,73.8,Average
308,66.6,62.5,45.0,57.7,3.4,56.9,68.3,67.5,Average
309,96.3,78.8,81.9,80.5,3.26,91.9,77.9,83.2,Good
310,82.6,87.2,68.0,80.3,5.27,94.5,78.8,88.2,Good
311,81.9,85.1,69.8,100.0,2.54,84.4,87.6,93.7,Good
312,50.1,55.6,45.3,30.1,0.31,46.4,42.0,46.9,Poor
313,67.4,62.8,60.7,53.8,2.11,45.0,53.6,66.3,Average
314,58.0,50.1,22.9,36.3,1.14,50.4,14.5,52.7,Average
315,76.2,50.0,72.3,48.4,2.91,68.9,50.9,77.6,Average
316,84.0,98.0,96.4,71.2,3.61,77.9,63.9,81.7,Good
317,67.6,58.3,68.4,58.1,2.15,70.1,35.2,87.1,Average
318,92.3,85.7,90.4,71.4,3.82,70.2,74.7,93.4,Good
319,69.5,54.4,68.6,54.0,4.68,75.1,62.8,83.4,Average
320,66.5,13.9,44.8,45.7,0.79,64.7,31.5,65.8,Poor
321,76.7,97.9,78.1,89.3,4.68,86.0,86.8,94.0,Good
322,71.1,60.4,52.6,68.7,0.85,70.5,47.0,60.2,Average
323,79.9,72.9,52.9,76.9,3.59,63.5,61.0,77.2,Average
324,53.5,30.8,38.7,52.9,2.37,30.7,38.2,52.9,Poor
325,89.5,96.5,67.9,89.5,6.04,79.7,54.5,84.5,Good
326,74.3,59.1,51.9,40.4,2.68,44.8,61.2,66.6,Average
327,76.3,69.1,67.3,40.8,1.99,71.3,59.4,51.7,Average
328,65.3,59.7,76.5,80.5,2.92,52.3,85.8,63.1,Average
329,62.4,86.0,48.9,64.1,3.41,48.2,62.4,82.2,Average
330,95.3,96.9,78.2,88.0,4.71,73.9,84.3,100.0,Good
331,58.3,33.8,58.0,68.1,3.62,56.9,54.7,85.0,Average
332,90.5,75.2,76.7,71.6,3.37,90.3,84.3,83.8,Good
333,95.8,87.5,80.7,81.0,7.56,80.4,82.4,99.5,Good
334,44.8,67.0,82.8,75.6,2.53,56.6,70.5,57.3,Average
335,58.2,70.7,69.3,61.3,3.54,58.3,67.3,56.7,Average
336,38.4,54.0,20.2,43.2,2.05,46.3,68.3,69.4,Poor
337,74.4,97.0,97.1,74.3,5.01,84.4,100.0,100.0,Good
338,93.3,94.2,88.0,82.6,5.69,93.9,96.6,95.8,Good
339,58.3,73.3,58.4,49.6,1.8,75.8,53.0,74.7,Average
340,86.1,62.0,60.3,58.7,4.39,79.9,88.8,67.9,Average
341,78.0,53.2,45.9,71.0,2.71,52.1,48.7,84.6,Average
342,57.4,34.9,33.2,35.4,1.3,36.5,49.4,15.0,Poor
343,68.8,50.4,58.5,64.9,1.24,51.5,64.5,69.4,Average
344,89.1,77.3,80.3,83.0,4.27,81.4,71.6,84.0,Good
345,78.4,72.9,67.8,62.2,3.04,68.5,55.4,62.5,Average
346,39.8,16.4,49.7,45.9,0.74,46.9,42.2,70.8,Poor
347,36.6,58.7,37.9,55.4,1.22,25.5,45.1,85.7,Poor
348,87.8,83.3,93.1,70.5,4.97,78.8,77.4,99.9,Good
349,68.5,60.5,57.7,48.2,2.16,55.8,21.9,96.7,Average
350,66.8,67.6,68.5,67.2,2.38,70.2,66.3,53.9,Average
351,91.9,89.6,80.9,73.0,3.04,81.9,67.1,63.7,Average
352,74.7,48.3,79.2,49.2,2.54,49.9,52.3,59.1,Average
353,93.4,91.4,87.3,80.1,4.35,80.3,71.0,87.5,Good
354,58.2,47.9,35.2,56.9,1.4,44.2,30.3,73.2,Poor
355,46.6,65.1,43.9,36.3,2.1,40.6,52.9,50.9,Poor
356,72.8,80.9,68.1,64.9,4.45,96.3,91.0,75.9,Good
357,61.6,46.4,43.3,47.1,1.52,83.5,53.2,72.3,Average
358,67.6,61.1,54.5,47.7,1.8,64.0,67.7,62.8,Average
359,55.1,71.8,56.0,48.9,1.61,60.0,52.1,41.3,Average
360,54.4,50.9,41.5,63.3,1.02,46.8,57.9,44.1,Poor
361,88.0,69.3,95.5,86.7,3.89,81.3,82.5,71.6,Good
362,50.2,56.4,38.8,45.9,3.15,26.9,18.9,66.0,Poor
363,82.4,100.0,86.8,70.8,5.09,91.7,87.5,75.9,Good
364,86.4,82.2,66.9,61.2,6.43,71.7,68.1,70.6,Good
365,77.7,70.5,43.2,56.0,1.43,55.2,57.8,63.9,Average
366,76.4,71.3,65.2,60.9,2.78,34.1,68.9,71.6,Average
367,81.5,79.3,78.2,83.8,4.45,66.3,84.6,95.5,Good
368,71.6,65.6,72.3,37.3,1.63,64.3,75.6,63.6,Average
369,54.3,74.8,49.7,70.0,2.32,51.5,54.7,78.9,Average
370,52.6,77.1,57.7,52.5,3.06,57.7,73.8,78.0,Average
371,51.2,46.5,40.2,32.8,0.84,47.2,42.4,57.6,Poor
372,83.9,55.3,61.6,85.4,5.3,85.7,68.4,89.6,Good
373,82.8,88.5,97.4,81.3,2.53,85.9,94.4,84.5,Good
